t,index,memory.used,power.draw,temperature.gpu,clocks.sm,utilization.gpu,clocks_throttle_reasons.active
1788206430.8,0,51304,39.87,42,1140,0,0x0000000000000000
1788206430.8,1,50272,44.27,41,1140,0,0x0000000000000000
1788206430.8,2,51832,40.34,41,1140,0,0x0000000000000000
1788206430.8,3,60572,41.47,40,1140,0,0x0000000000000000
1788206432.9,0,51304,58.26,42,1140,2,0x0000000000000000
1788206432.9,1,50272,44.17,41,1140,0,0x0000000000000000
1788206432.9,2,51832,40.35,41,1140,0,0x0000000000000000
1788206432.9,3,60572,41.47,40,1140,0,0x0000000000000000
1788206435.0,0,51304,81.16,44,1410,86,0x0000000000000000
1788206435.0,1,50272,85.59,44,1485,80,0x0000000000000000
1788206435.0,2,51832,105.66,44,1410,63,0x0000000000000000
1788206435.0,3,60572,76.36,43,1470,36,0x0000000000000000
1788206437.2,0,51304,79.98,45,1410,87,0x0000000000000000
1788206437.2,1,50272,85.30,45,1485,77,0x0000000000000000
1788206437.2,2,51832,120.26,44,1410,56,0x0000000000000000
1788206437.2,3,60572,76.45,44,1470,34,0x0000000000000000
1788206439.3,0,51304,61.19,45,1410,85,0x0000000000000000
1788206439.3,1,50272,72.55,45,1485,81,0x0000000000000000
1788206439.3,2,51832,99.31,44,1410,49,0x0000000000000000
1788206439.3,3,60572,136.77,44,1470,28,0x0000000000000000
1788206441.4,0,51304,114.07,45,1410,87,0x0000000000000000
1788206441.4,1,50272,105.17,46,1485,79,0x0000000000000000
1788206441.4,2,51832,62.43,45,1410,62,0x0000000000000000
1788206441.4,3,60572,94.98,45,1470,38,0x0000000000000000
1788206443.5,0,51304,53.46,45,1410,60,0x0000000000000000
1788206443.5,1,50272,67.33,45,1485,14,0x0000000000000000
1788206443.5,2,51832,54.66,44,1410,6,0x0000000000000000
1788206443.5,3,60572,62.25,44,1470,0,0x0000000000000000
1788206445.6,0,51304,40.46,43,1140,0,0x0000000000000000
1788206445.6,1,50272,44.96,43,1140,0,0x0000000000000000
1788206445.6,2,51832,40.56,43,1140,0,0x0000000000000000
1788206445.6,3,60572,41.96,42,1140,0,0x0000000000000000
1788206447.7,0,51304,40.37,43,1140,0,0x0000000000000000
1788206447.7,1,50272,44.86,42,1140,0,0x0000000000000000
1788206447.7,2,51832,40.56,43,1140,0,0x0000000000000000
1788206447.7,3,60572,42.16,42,1140,0,0x0000000000000000
1788206449.8,0,51304,40.26,43,1140,0,0x0000000000000000
1788206449.8,1,50272,44.76,42,1140,0,0x0000000000000000
1788206449.8,2,51832,40.45,42,1140,0,0x0000000000000000
1788206449.8,3,60572,41.96,42,1140,0,0x0000000000000000
